time,PM1(ug/m3),PM10(ug/m3),PM2.5(ug/m3),RH(%),T(C)
2020-02-24 15:07:05.542000130,15.606,64.679,54.813,33.7,19.3
2020-02-24 15:07:06.929999870,14.130999999999998,51.308,41.302,33.6,19.3
2020-02-24 15:07:08.319000060,16.011,59.128,49.248000000000005,33.5,19.3
2020-02-24 15:08:02.752000000,17.195,69.142,57.148,33.7,19.4
2020-02-24 15:08:04.144999940,14.768,58.586000000000006,47.178,33.5,19.4
2020-02-24 15:08:05.532999940,16.674,60.247,51.465,33.5,19.4
2020-02-24 15:08:06.926000130,16.593,97.653,56.404,33.4,19.4
2020-02-24 15:09:06.913999870,16.881,68.694,56.059,33.3,19.5
2020-02-24 15:09:08.303000060,16.484,86.838,54.827,33.3,19.5
2020-02-24 15:09:09.691000060,16.422,72.278,56.635,33.2,19.5
2020-02-24 15:09:11.079000060,15.834,58.791,49.351000000000006,33.2,19.5
2020-02-24 15:10:05.500999940,16.972,65.743,55.41,32.9,19.5
2020-02-24 15:10:06.894000130,15.300999999999998,59.20399999999999,48.093,32.8,19.5
2020-02-24 15:10:08.281999870,15.683,82.823,63.403,32.8,19.5
2020-02-24 15:10:09.675000060,16.309,107.603,50.739,32.8,19.5
2020-02-24 15:11:04.104000000,15.738,63.179,52.805,32.9,19.6
2020-02-24 15:11:05.492000000,19.203,71.045,60.198,32.9,19.6
2020-02-24 15:11:06.884999940,19.131,86.04,66.432,32.9,19.6
2020-02-24 15:11:08.272999940,16.987000000000002,54.479,46.006,32.8,19.6
2020-02-24 15:12:02.704000000,18.83,84.553,65.046,33.1,19.6
2020-02-24 15:12:04.092000000,17.352999999999998,62.462,54.393,33.1,19.6
2020-02-24 15:12:05.484000000,15.169,64.704,50.767,33.0,19.6
2020-02-24 15:12:06.872999940,19.309,70.874,60.37,33.0,19.6
2020-02-24 15:13:06.856999940,15.095999999999998,60.952,51.412,32.8,19.7
2020-02-24 15:13:08.249999870,15.917,60.029,49.338,32.7,19.7
2020-02-24 15:13:09.641999870,15.598,72.821,51.65,32.7,19.7
2020-02-24 15:13:11.031000060,13.366,99.879,42.359,32.7,19.7
2020-02-24 15:14:05.456000000,16.688,75.211,58.328,32.8,19.7
2020-02-24 15:14:06.848999940,17.776,84.579,62.753,32.7,19.7
2020-02-24 15:14:08.236999940,15.373,74.87899999999999,60.202,32.6,19.7
2020-02-24 15:14:09.630000130,20.124,72.02600000000001,61.87,32.7,19.7
2020-02-24 15:15:04.056000000,17.541,78.664,59.367,32.6,19.7
2020-02-24 15:15:05.447000060,17.369,51.701,46.005,32.5,19.8
2020-02-24 15:15:06.835000060,16.31,68.686,56.012,32.5,19.8
2020-02-24 15:15:08.224000000,14.419,67.821,51.926,32.4,19.7
2020-02-24 15:16:02.648000000,17.674,67.294,56.999,32.6,19.8
2020-02-24 15:16:04.036000000,18.666,82.11,68.202,32.5,19.8
2020-02-24 15:16:05.424000000,17.237000000000002,60.404,52.0,32.5,19.8
2020-02-24 15:16:06.814000130,16.65,77.61399999999999,61.155,32.4,19.8
2020-02-24 15:17:06.807000060,17.564,71.9,57.397,32.5,19.8
2020-02-24 15:17:08.196000000,20.774,79.321,67.37100000000001,32.5,19.8
2020-02-24 15:17:09.580000000,17.93,69.154,55.933,32.4,19.8
2020-02-24 15:17:10.972000000,21.707,125.365,81.694,32.4,19.8
2020-02-24 15:18:05.396999940,17.917,81.01,62.306,32.5,19.9
2020-02-24 15:18:06.792999940,21.337,150.395,80.774,32.4,19.8
2020-02-24 15:18:08.184999940,18.979,77.66,65.21300000000001,32.4,19.9
